394,Fertiliser application: 296 kg/ha DoubleTop into SAWYERS 1,SAWYERS 1;2020/R/WS/2047;2020/R/WS/2049;2020/R/WS/2055,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
396,Fertiliser application: 148 kg/ha DoubleTop into WEST BARNFIELD 1/2,WEST BARNFIELD 1/2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>148 Kg/ha double top gives 40 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
397,Fertiliser application: 148 kg/ha DoubleTop into FOSTERS CORNER,FOSTERS CORNER,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>148 Kg/ha double top gives 40 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
398,Fertiliser application: 148 kg/ha DoubleTop into AGDELL/HARWOODS,AGDELL/HARWOODS,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>148 Kg/ha double top gives 40 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
399,Fertiliser application: 148 kg/ha DoubleTop into DELHARDING,DELHARDING,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>148 Kg/ha Double Top gives 40 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
400,Fertiliser application: 290 kg/ha Nitram into GREAT KNOTT 2,GREAT KNOTT 2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>290 Kg/ha Nitram gives 100 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
401,Fertiliser application: 290 kg/ha Nitram into GREAT KNOTT 3,GREAT KNOTT 3,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>290 Kg/ha Nitram gives 100 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
402,Fertiliser application: 261 kg/ha Nitram into BLACKHORSE,BLACKHORSE,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
403,Fertiliser application: 319 kg/ha Nitram into STACKYARD,STACKYARD,JD6145R,Fertiliser Application,[],[]
404,Fertiliser application: 261 kg/ha Nitram into DELAFIELD,DELAFIELD,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
405,Fertiliser application: 261 kg/ha Nitram into GREAT KNOTT 1,GREAT KNOTT 1,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
406,Fertiliser application: 261 kg/ha Nitram into SCOUT,SCOUT,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
407,Fertiliser application: 261 kg/ha Nitram into WEBBS,WEBBS,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
408,Fertiliser application: 261 kg/ha Nitram into GEESCROFT,GEESCROFT,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
409,Fertiliser application: 296 kg/ha DoubleTop into SAWYERS 1,SAWYERS 1;2020/R/WS/2047;2020/R/WS/2049;2020/R/WS/2055,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
410,Fertiliser application: 261 kg/ha Nitram into CLAYCROFT,CLAYCROFT,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
411,Fertiliser application: 261 kg/ha Nitram into PARKLANDS,PARKLANDS,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
412,Fertiliser application: 261 kg/ha Nitram into LITTLE KNOTT 1,LITTLE KNOTT 1,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
413,Fertiliser application: 261 kg/ha Nitram into LITTLE KNOTT 2,LITTLE KNOTT 2,JD6145R,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
414,Fertiliser application: 261 kg/ha Nitram into SAWYERS 4,SAWYERS 4,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
415,Fertiliser application: 261 kg/ha Nitram into SAWYERS 2,SAWYERS 2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
416,Fertiliser application: 261 kg/ha Nitram into SAWYERS 1,SAWYERS 1;2020/R/WS/2047;2020/R/WS/2049;2020/R/WS/2055,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>261 Kg/ha Nitram gives 90 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
417,Fertiliser application: 319 kg/ha Nitram into FURZEFIELD,FURZEFIELD,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>319 Kg/ha Nitram gives 110 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
419,"Spraying: Samurai, Buffalo elite in LONG HOOS 4",LONG HOOS 4,JD5620;Micron shrouded plot end sprayer,Pesticide Application,"{'value': '<p>Wind: 5 mph WSW</p>\n<p>Weather: Sunny</p>\n<p>Temperature: 15 C</p>\n<p>Sprayed off plot ends of CS/778 only</p>\n', 'format': 'farm_format'}",[]
420,"Spraying: Samurai, Buffalo elite in LONG HOOS 5",LONG HOOS 5,JD5620;Micron shrouded plot end sprayer,Pesticide Application,"{'value': '<p>Wind: 5 mph WSW</p>\n<p>Weather: Sunny</p>\n<p>Temperature: 15 C</p>\n<p>Sprayed off plot ends in CS/773 only</p>\n', 'format': 'farm_format'}",[]
421,Spraying: Samurai in LONG HOOS 6/7,LONG HOOS 6/7,JD5620;Micron shrouded plot end sprayer,Pesticide Application,"{'value': '<p>Wind: 5 mph WSW</p>\n<p>Weather: Sunny</p>\n<p>Temperature: 15 C</p>\n<p>Sprayed off plot ends in CS/789 only</p>\n', 'format': 'farm_format'}",[]
422,"Spraying: Samurai, Buffalo elite in NEW ZEALAND",NEW ZEALAND,JD5620;Micron shrouded plot end sprayer,Pesticide Application,"{'value': '<p>Wind: 7 mph WSW</p>\n<p>Weather: Sunny</p>\n<p>Temperature: 17 C</p>\n<p>Sprayed off plot ends in CS/760 only</p>\n', 'format': 'farm_format'}",[]
423,"Spraying: Samurai, Buffalo elite in LONG HOOS 1/2 + 3",LONG HOOS 1/2 + 3,JD5620;Micron shrouded plot end sprayer,Pesticide Application,"{'value': '<p>Wind: 7 mph WSW</p>\n<p>Weather: Sunny</p>\n<p>Temperature: 17 C</p>\n<p>Sprayed off plot ends in WW/2022 only</p>\n', 'format': 'farm_format'}",[]
